object_id,data,predicted_class
ZTF18aaaizvi,"[[[ 2.29578217e+02  2.34202301e+02  2.53130096e+02 ...  2.16745331e+02
    2.63788300e+02  2.36984924e+02]
  [ 2.25675018e+02  2.22608368e+02  2.27105804e+02 ...  2.30515900e+02
    2.16181000e+02  2.38127106e+02]
  [ 2.38984589e+02  2.43653961e+02  2.36379852e+02 ...  2.31685822e+02
    2.32199493e+02  2.33264313e+02]
  ...
  [ 2.35767700e+02  2.35522644e+02  2.31466980e+02 ...  2.14589783e+02
    2.36819336e+02  2.25970856e+02]
  [ 2.22589050e+02  2.29186768e+02  2.12690247e+02 ...  2.37118652e+02
    2.25388855e+02  2.31029755e+02]
  [ 2.34841431e+02  2.33773499e+02  2.32501770e+02 ...  2.28612366e+02
    2.20203674e+02  2.38886505e+02]]

 [[ 2.31147842e+02  2.32315842e+02  2.30811691e+02 ...  2.30230789e+02
    2.29563843e+02  2.31348587e+02]
  [ 2.30562195e+02  2.29875946e+02  2.31298248e+02 ...  2.32899506e+02
    2.31907669e+02  2.31608154e+02]
  [ 2.32636520e+02  2.33599106e+02  2.31722275e+02 ...  2.30980103e+02
    2.30667633e+02  2.32713486e+02]
  ...
  [ 2.29342834e+02  2.30290482e+02  2.29807404e+02 ...  2.29873444e+02
    2.30657990e+02  2.31941452e+02]
  [ 2.33246582e+02  2.31045944e+02  2.27708878e+02 ...  2.30236160e+02
    2.31223083e+02  2.32194702e+02]
  [ 2.34121033e+02  2.30568405e+02  2.29608734e+02 ...  2.30040283e+02
    2.28259140e+02  2.31169220e+02]]

 [[ 4.04098320e+00 -1.55273926e+00 -2.00819302e+01 ...  1.72090912e+01
   -3.42087097e+01 -8.25141621e+00]
  [ 4.49156189e+00  5.78404522e+00  5.87222433e+00 ... -1.80643451e+00
    1.88587666e+01 -4.62660170e+00]
  [-4.37778950e+00 -1.02154922e+01 -7.29487133e+00 ...  1.93196917e+00
   -5.58168125e+00 -1.61928809e+00]
  ...
  [-4.01117134e+00 -1.89803743e+00 -2.63443202e-01 ...  1.69708366e+01
   -7.68445206e+00  3.65966773e+00]
  [ 8.75352859e+00  3.75460148e-01  1.44525385e+01 ... -8.24703026e+00
    8.02081013e+00  2.67027235e+00]
  [-2.64893913e+00 -4.11459875e+00 -1.83069015e+00 ...  4.44437075e+00
    5.91972256e+00 -7.15318966e+00]]]",YSO
ZTF18acvwasd,"[[[ 3.85064423e+02  3.51029205e+02  3.86310760e+02 ...  3.83527344e+02
    3.78803589e+02  3.55854858e+02]
  [ 3.70577057e+02  3.66520538e+02  3.50683563e+02 ...  3.81316162e+02
    3.70237427e+02  3.66442383e+02]
  [ 3.55137177e+02  3.82470245e+02  3.72936310e+02 ...  3.93003540e+02
    3.71453979e+02  3.72171936e+02]
  ...
  [ 3.69907166e+02  3.79219666e+02  3.77475159e+02 ...  3.55343048e+02
    3.76298309e+02  3.56669708e+02]
  [ 3.75262512e+02  3.60469910e+02  3.87922485e+02 ...  3.81529968e+02
    3.70577148e+02  3.65183472e+02]
  [ 3.84181580e+02  3.59315247e+02  3.73769531e+02 ...  3.73264282e+02
    3.51321045e+02  3.56330139e+02]]

 [[ 3.66289154e+02  3.66310028e+02  3.66701172e+02 ...  3.74806580e+02
    3.71612762e+02  3.69072113e+02]
  [ 3.66979004e+02  3.65481506e+02  3.67643768e+02 ...  3.78228333e+02
    3.73502136e+02  3.71441315e+02]
  [ 3.66666626e+02  3.66907654e+02  3.73679321e+02 ...  3.79608398e+02
    3.77560699e+02  3.74720886e+02]
  ...
  [ 3.70291229e+02  3.73770203e+02  3.80598236e+02 ...  3.68644806e+02
    3.69793488e+02  3.70058411e+02]
  [ 3.72683319e+02  3.75904144e+02  3.73583252e+02 ...  3.68971588e+02
    3.67628693e+02  3.67496582e+02]
  [ 3.67560242e+02  3.71845795e+02  3.76143890e+02 ...  3.68957886e+02
    3.66422577e+02  3.68580017e+02]]

 [[ 1.79817543e+01 -1.12570343e+01  9.90322208e+00 ...  8.58322048e+00
    4.96025419e+00 -1.41157722e+01]
  [ 1.56160367e+00  2.96345860e-01 -1.56491060e+01 ...  2.00779414e+00
   -4.17617559e+00 -4.99140072e+00]
  [-1.38961325e+01  1.62565899e+01  1.72559053e-01 ...  1.66947842e+01
   -9.00213242e+00 -1.82016718e+00]
  ...
  [-6.12253618e+00  3.14713740e+00 -2.47365189e+00 ... -1.22617283e+01
    4.96986818e+00 -1.13403425e+01]
  [ 8.28856945e+00 -1.76407032e+01  1.34449902e+01 ...  1.35797882e+01
    7.56588757e-01 -4.51287079e+00]
  [ 1.37065697e+01 -1.04044437e+01 -5.23150778e+00 ...  2.92128706e+00
   -1.46370811e+01 -8.70580673e+00]]]",AGN
ZTF18acwynph,"[[[ 3.1281451e+02  3.0652417e+02  2.9872461e+02 ...  3.0667801e+02
    3.0076364e+02  3.0260599e+02]
  [ 3.0830219e+02  3.1668066e+02  3.0459174e+02 ...  3.1108896e+02
    3.0816751e+02  2.9135110e+02]
  [ 3.1826245e+02  3.1479877e+02  2.8383453e+02 ...  3.0235233e+02
    2.9978409e+02  3.0724051e+02]
  ...
  [ 3.0140540e+02  2.8698090e+02  3.0519177e+02 ...  2.9343805e+02
    3.1649524e+02  3.0362714e+02]
  [ 3.1430902e+02  3.0614697e+02  3.0428021e+02 ...  2.9036530e+02
    3.1636090e+02  2.9025146e+02]
  [ 2.9003961e+02  3.1396063e+02  2.9850348e+02 ...  3.0304510e+02
    2.9663873e+02  2.9968408e+02]]

 [[ 3.0083914e+02  3.0160284e+02  2.9982916e+02 ...  3.0790854e+02
    3.0599362e+02  3.0542746e+02]
  [ 3.0387051e+02  2.9914340e+02  3.0081467e+02 ...  3.0763190e+02
    3.0639102e+02  3.0234991e+02]
  [ 3.0275931e+02  3.0497189e+02  3.0335925e+02 ...  3.1173593e+02
    3.0385516e+02  3.0323206e+02]
  ...
  [ 3.0012637e+02  3.0502774e+02  3.1394669e+02 ...  3.0493631e+02
    3.0532169e+02  3.0482648e+02]
  [ 3.0782474e+02  3.0732584e+02  3.0815311e+02 ...  3.0275031e+02
    3.0180365e+02  3.0068930e+02]
  [ 2.9977658e+02  3.0344315e+02  3.0614926e+02 ...  2.9854233e+02
    2.9740393e+02  3.0278104e+02]]

 [[ 1.0826917e+01  3.9292574e+00 -1.0925019e-01 ... -1.4776030e+00
   -1.9928665e+00 -3.2629881e+00]
  [ 4.9360142e+00  1.8690098e+01 -1.2306925e+00 ...  4.9696856e+00
   -1.6883352e-01 -9.7914171e+00]
  [ 1.5508596e+01  9.0680723e+00 -1.6821020e+01 ... -1.0399770e+01
   -2.6316149e+00  1.3493375e+00]
  ...
  [ 1.8491511e+00 -1.8883760e+01 -7.4544363e+00 ... -1.1316156e+01
    1.9016777e+01 -2.4298701e+00]
  [ 3.4351666e+00  4.3690014e+00 -3.6225357e+00 ... -1.1390082e+01
    8.5783167e+00 -1.0756820e+01]
  [-1.0709642e+01  6.4040871e+00 -9.3102465e+00 ...  3.8218205e+00
    1.3322800e+00 -4.7710271e+00]]]",AGN
ZTF19aamgxev,"[[[ 3.31101379e+02  3.05211182e+02  3.39662720e+02 ...  3.25706573e+02
    3.19643402e+02  3.24931793e+02]
  [ 3.17535767e+02  3.24360046e+02  3.22984497e+02 ...  3.43180084e+02
    3.06698761e+02  3.14806549e+02]
  [ 3.23188232e+02  3.30854675e+02  3.37186829e+02 ...  3.25080719e+02
    3.09541718e+02  3.28958466e+02]
  ...
  [ 3.36575745e+02  3.10929138e+02  3.33311279e+02 ...  3.10335876e+02
    3.03172180e+02  3.08446411e+02]
  [ 3.06386475e+02  3.40749084e+02  3.10957520e+02 ...  3.19196838e+02
    3.06194336e+02  3.15219666e+02]
  [ 3.31946838e+02  3.31366943e+02  3.07671997e+02 ...  3.22669800e+02
    3.32885437e+02  3.09467163e+02]]

 [[ 3.21745178e+02  3.15715088e+02  3.19182678e+02 ...  3.20555359e+02
    3.21651581e+02  3.18299927e+02]
  [ 3.21827057e+02  3.18309753e+02  3.18795197e+02 ...  3.17723572e+02
    3.17073334e+02  3.18290955e+02]
  [ 3.23710754e+02  3.21764099e+02  3.21093872e+02 ...  3.22376312e+02
    3.19902130e+02  3.16193298e+02]
  ...
  [ 3.21253906e+02  3.20621246e+02  3.22058105e+02 ...  3.24199738e+02
    3.20228699e+02  3.20148468e+02]
  [ 3.19939392e+02  3.18800720e+02  3.21366180e+02 ...  3.19732605e+02
    3.17422180e+02  3.15752716e+02]
  [ 3.17949615e+02  3.17492249e+02  3.21923615e+02 ...  3.19740082e+02
    3.19219574e+02  3.15834229e+02]]

 [[-6.10068035e+00  8.93695545e+00 -1.81913033e+01 ... -6.43277979e+00
    4.30415678e+00 -6.19685602e+00]
  [ 3.18623304e+00 -7.10367393e+00 -4.25750923e+00 ... -2.64478741e+01
    9.23472404e+00  4.11662054e+00]
  [ 1.86691642e+00 -1.00068254e+01 -1.49980850e+01 ...  1.48874176e+00
    8.33059406e+00 -1.25104818e+01]
  ...
  [-1.21250286e+01  5.96518946e+00 -9.93804455e+00 ...  1.52591372e+01
    1.81650391e+01  1.33231945e+01]
  [ 1.38919792e+01 -2.21503124e+01  1.38320971e+01 ... -1.77288496e+00
    9.88369751e+00 -1.28125012e+00]
  [-1.71347656e+01 -1.28281116e+01  1.21365957e+01 ... -8.31184536e-02
   -1.39917450e+01  8.96361351e+00]]]",Periodic-Other
ZTF20aacbyhj,"[[[264.21753   259.75885   266.57977   ... 244.65631   252.87646
   257.23004  ]
  [251.49756   259.45947   247.6734    ... 256.55676   263.78198
   252.78552  ]
  [260.53064   248.23175   254.05078   ... 270.3083    262.52625
   253.35144  ]
  ...
  [216.12036   257.7063    235.10236   ... 239.49384   227.586
   269.3709   ]
  [259.08307   238.75287   259.4842    ... 250.9928    231.25165
   208.52313  ]
  [255.92993   239.33429   251.34601   ... 231.07684   273.18958
   238.55658  ]]

 [[244.58392   249.57631   245.27132   ... 246.11005   245.25687
   244.5998   ]
  [249.17072   249.11177   245.26396   ... 242.36479   245.81618
   246.02397  ]
  [246.82515   244.40967   244.14684   ... 242.70007   245.64091
   245.15565  ]
  ...
  [245.05104   247.13992   244.6033    ... 247.76738   245.84381
   246.17319  ]
  [247.12343   243.80507   244.96027   ... 247.12312   247.1382
   245.68942  ]
  [245.85735   246.15974   242.1894    ... 247.31956   246.97916
   247.3301   ]]

 [[-19.951126  -10.494712  -23.019018  ...   1.4767708  -8.731221
   -10.631374 ]
  [ -1.2968547 -15.521954    1.4016588 ... -15.585012  -16.596838
    -9.526616 ]
  [-18.881193    1.3202428 -14.576767  ... -23.626608  -19.349516
    -3.7279584]
  ...
  [ 29.515358  -12.329528   11.207818  ...   3.426141   24.036772
   -22.303415 ]
  [-16.713854    8.534079  -15.820861  ...   2.6272616   7.2485385
    42.25359  ]
  [ -7.6836853   2.0613587  -3.5112438 ...  13.51942   -22.807104
     3.34052  ]]]",Periodic-Other
ZTF19aanwwvq,"[[[256.20978   262.20453   273.69025   ... 265.83575   263.268
   279.48438  ]
  [256.25757   266.7572    258.96014   ... 274.34717   241.96454
   281.0957   ]
  [259.97955   282.77258   278.903     ... 283.33893   266.21136
   282.02417  ]
  ...
  [257.37756   252.56665   268.36914   ... 262.63684   275.1573
   268.68756  ]
  [249.28387   265.96155   283.6762    ... 256.01355   272.60614
   275.65552  ]
  [259.5655    288.15442   281.49292   ... 265.39587   263.2887
   248.99237  ]]

 [[271.29462   270.29544   264.03802   ... 268.6868    266.96893
   265.8865   ]
  [268.94193   268.3133    266.0784    ... 268.02744   265.7493
   266.87897  ]
  [266.98468   267.5091    268.4689    ... 266.9853    267.2155
   266.3458   ]
  ...
  [268.96704   267.45074   269.0824    ... 265.38272   267.95615
   271.95456  ]
  [264.78174   266.70786   269.2177    ... 267.11923   268.73935
   266.74728  ]
  [267.66452   268.70737   267.47504   ... 265.4306    267.1332
   263.73898  ]]

 [[ 10.861674    8.913803   -5.7411456 ...   1.2596967   4.3161244
   -10.760257 ]
  [ 13.226735   -0.5285801   7.6822248 ...  -9.760453   27.22793
   -14.716427 ]
  [  8.647148  -14.758053  -10.127441  ... -16.037825    1.1086006
   -14.397839 ]
  ...
  [ 11.4112425  18.19237     1.5988252 ...   5.6256685  -7.9936814
    -1.4735986]
  [ 17.018694    2.4823847 -15.224168  ...  11.276856   -3.0121233
   -10.980898 ]
  [  9.211006  -20.030794  -14.038042  ...   0.9570831   4.079449
    18.561386 ]]]",Periodic-Other
ZTF19adaizco,"[[[ 3.1807907e+02  3.3796469e+02  3.3016104e+02 ...  3.3612479e+02
    3.3003549e+02  3.5466147e+02]
  [ 3.6320789e+02  3.3554236e+02  3.2704547e+02 ...  3.5486441e+02
    3.5012589e+02  3.5261703e+02]
  [ 3.4503906e+02  3.3809088e+02  3.1219257e+02 ...  3.5650964e+02
    3.3230219e+02  3.3216541e+02]
  ...
  [ 3.3645892e+02  3.4296259e+02  3.5814062e+02 ...  3.5936572e+02
    3.4730505e+02  3.4433203e+02]
  [ 3.4005768e+02  3.2560211e+02  3.5073547e+02 ...  3.3866016e+02
    3.6882367e+02  3.6511420e+02]
  [ 3.2324493e+02  3.4436273e+02  3.5228351e+02 ...  3.4288995e+02
    3.6117505e+02  3.3344647e+02]]

 [[ 3.4401721e+02  3.4596268e+02  3.4598505e+02 ...  3.4430627e+02
    3.4543375e+02  3.4622144e+02]
  [ 3.4024957e+02  3.4753146e+02  3.5084988e+02 ...  3.4144565e+02
    3.4556058e+02  3.4561288e+02]
  [ 3.4629596e+02  3.4778375e+02  3.4881821e+02 ...  3.4651111e+02
    3.4688495e+02  3.4324478e+02]
  ...
  [ 3.4497235e+02  3.4436642e+02  3.4518475e+02 ...  3.4561600e+02
    3.4544971e+02  3.4362488e+02]
  [ 3.4205338e+02  3.4298178e+02  3.4397787e+02 ...  3.4361984e+02
    3.4200598e+02  3.4089963e+02]
  [ 3.4408435e+02  3.4421783e+02  3.4427112e+02 ...  3.4603189e+02
    3.4399026e+02  3.4368332e+02]]

 [[ 1.9341686e+01  1.3814994e+01  1.2554464e+01 ...  8.0863972e+00
    1.4123331e+01 -7.8005118e+00]
  [-1.8721487e+01  8.4931707e+00  2.5204378e+01 ... -1.3631734e+01
   -4.7593722e+00 -8.4502230e+00]
  [ 1.4725387e+00  1.0652849e+01  3.2566181e+01 ... -8.2238674e+00
    1.4488336e+01  1.2358992e+01]
  ...
  [ 5.1179423e+00  4.0005350e+00 -1.5099381e+01 ... -1.2163967e+01
   -9.5687217e-01 -2.0922639e+00]
  [ 4.3504167e+00  1.8616985e+01 -3.9905224e+00 ...  6.0833125e+00
   -2.8253595e+01 -2.2555527e+01]
  [ 2.0184240e+01 -1.1311284e-01 -9.7234831e+00 ...  3.2419691e+00
   -1.3347643e+01  1.1671267e+01]]]",QSO
ZTF19aafljav,"[[[199.8338    211.53708   207.94647   ... 217.66928   214.27295
   215.22046  ]
  [206.56805   197.54825   187.24966   ... 202.75327   218.0463
   206.92303  ]
  [186.52588   200.33981   207.44092   ... 193.91647   193.26675
   221.08914  ]
  ...
  [183.59619   188.11179   203.5073    ... 196.4078    198.53735
   201.17746  ]
  [208.26181   195.8982    189.07901   ... 206.93063   206.42862
   208.7893   ]
  [211.23373   185.2832    223.88538   ... 211.6576    204.31961
   206.37674  ]]

 [[205.05035   204.98541   202.53775   ... 205.2737    202.9751
   204.56723  ]
  [203.53583   206.39943   203.68823   ... 204.94223   204.5442
   205.4638   ]
  [203.0382    202.76231   205.0518    ... 205.06953   202.30595
   202.60915  ]
  ...
  [204.86145   204.47108   204.36848   ... 206.45074   204.43515
   202.85808  ]
  [203.49522   202.49927   202.82622   ... 206.16553   203.35362
   202.9012   ]
  [203.12015   202.12796   201.27805   ... 205.61113   204.80621
   204.16756  ]]

 [[  7.1376057  -8.751228   -4.1518855 ... -11.690859  -11.469485
   -10.44239  ]
  [ -2.5177188   6.304151   16.726885  ...   3.0229135 -13.11784
    -3.0647323]
  [ 16.644245    4.513275   -4.30198   ...  10.353737   10.965951
   -16.99227  ]
  ...
  [ 20.33212    18.624794   -0.7743448 ...  11.827891    5.223452
     3.553586 ]
  [ -5.466268    5.3011613  13.278069  ...  -0.7191404  -2.060716
    -6.0389614]
  [ -6.1745996  15.501534  -18.086626  ...  -7.8438473   2.0411367
    -2.986344 ]]]",QSO
ZTF18acvwamd,"[[[ 2.97218658e+02  3.04754852e+02  3.20221344e+02 ...  2.95848206e+02
    2.83737854e+02  2.62135742e+02]
  [ 2.99448944e+02  3.14899567e+02  3.33290070e+02 ...  2.91336060e+02
    2.96877563e+02  2.96182495e+02]
  [ 2.98359833e+02  3.33657928e+02  2.92378510e+02 ...  2.78605225e+02
    2.84797058e+02  2.82930542e+02]
  ...
  [ 2.87227753e+02  3.27860931e+02  3.10085236e+02 ...  3.07534027e+02
    2.94372284e+02  2.92131805e+02]
  [ 3.05030060e+02  3.08094818e+02  2.98094208e+02 ...  2.91878937e+02
    2.77764252e+02  2.77090302e+02]
  [ 3.09103058e+02  3.10565521e+02  2.97093048e+02 ...  2.78339081e+02
    2.71155182e+02  3.01493011e+02]]

 [[ 2.97888885e+02  3.01780396e+02  3.08487885e+02 ...  2.90931610e+02
    2.86913605e+02  2.86164490e+02]
  [ 3.04955261e+02  3.11364197e+02  3.15850464e+02 ...  2.90128906e+02
    2.87893219e+02  2.89219299e+02]
  [ 3.04081879e+02  3.18431915e+02  3.30281525e+02 ...  2.91105255e+02
    2.89389221e+02  2.89951385e+02]
  ...
  [ 3.04301117e+02  3.03832794e+02  3.09217010e+02 ...  2.87708069e+02
    2.86525116e+02  2.87541107e+02]
  [ 2.94175537e+02  2.96462280e+02  3.03125031e+02 ...  2.87445099e+02
    2.86014832e+02  2.87015350e+02]
  [ 2.96903656e+02  3.02708221e+02  2.99152954e+02 ...  2.89738800e+02
    2.88339539e+02  2.87144043e+02]]

 [[ 9.33638155e-01 -8.82139027e-01 -1.64000492e+01 ... -6.39462662e+00
    3.95874476e+00  2.39528713e+01]
  [ 4.80017328e+00 -3.70979857e+00 -1.12612696e+01 ...  2.71012712e+00
   -7.51144361e+00 -9.83508873e+00]
  [ 9.27511787e+00 -1.72836704e+01  3.26024895e+01 ...  9.65000820e+00
    5.15554953e+00  9.06939411e+00]
  ...
  [ 1.59496126e+01 -2.06705322e+01 -2.52047539e-01 ... -2.15004864e+01
   -6.65279865e+00 -1.51857424e+00]
  [-9.22452545e+00 -6.53114891e+00  1.81995797e+00 ... -9.99469578e-01
    9.36965275e+00  7.42840385e+00]
  [-1.51645966e+01 -1.22653599e+01  3.22411060e+00 ...  7.19174576e+00
    1.59320517e+01 -1.11404915e+01]]]",YSO
ZTF20aaliskf,"[[[448.99316   457.56085   433.82056   ... 414.8897    432.81458
   438.16766  ]
  [419.0307    455.66034   465.0161    ... 433.68335   435.7616
   445.1123   ]
  [448.58057   444.78607   434.0326    ... 426.36786   415.91846
   453.63568  ]
  ...
  [463.92255   438.57672   436.99847   ... 432.37317   446.48425
   444.00635  ]
  [440.5849    430.63733   443.28558   ... 441.22052   447.93817
   427.88214  ]
  [442.87897   434.50818   453.54645   ... 447.20728   422.97028
   450.54285  ]]

 [[440.8754    440.81668   444.26273   ... 437.54446   436.76575
   434.81125  ]
  [440.7409    444.78513   454.52518   ... 436.3481    433.56107
   435.89136  ]
  [440.0027    444.27368   453.3735    ... 437.1632    437.16095
   437.08978  ]
  ...
  [437.0816    443.35434   438.03525   ... 436.9962    438.637
   438.66937  ]
  [436.80237   439.23114   438.21097   ... 439.97687   438.622
   437.6284   ]
  [436.1706    436.27988   438.3193    ... 438.64444   442.51248
   438.4467   ]]

 [[ -5.2995095 -18.254395    9.255412  ...  21.748873    3.7686386
    -2.793044 ]
  [ 21.246672  -10.223916  -16.640541  ...   1.410888    2.49613
    -8.980792 ]
  [ -8.649663   -3.2381961  14.950927  ...  13.38669    19.17449
   -17.21258  ]
  ...
  [-27.527973    3.3052597   2.7737453 ...   5.0582447  -9.522877
    -5.0000916]
  [ -1.2702657   6.905942   -8.526284  ...  -3.5101295  -6.6983423
    10.214326 ]
  [ -8.533353    3.4566936 -13.556997  ...  -8.802294   17.270063
   -12.623454 ]]]",QSO
ZTF18acusnxw,"[[[291.7856     283.69077    278.24057    ... 296.51443    278.08994
   274.2949    ]
  [292.58646    287.88913    275.2811     ... 260.6108     273.90726
   280.96146   ]
  [276.07257    273.71936    264.98682    ... 278.873      264.07172
   282.7937    ]
  ...
  [295.4273     275.10278    277.3943     ... 280.70636    277.19727
   284.43018   ]
  [284.76794    289.43665    266.10266    ... 284.02948    278.19128
   261.47412   ]
  [287.08875    289.18018    280.333      ... 281.64404    289.87494
   293.2857    ]]

 [[281.645      283.28146    281.08774    ... 282.56894    281.20825
   279.2989    ]
  [280.03       278.9826     279.29245    ... 280.27307    279.86264
   281.5358    ]
  [281.65494    281.34784    277.92056    ... 280.61154    280.46332
   282.12982   ]
  ...
  [279.12015    276.126      275.63513    ... 280.48752    283.24448
   281.24454   ]
  [278.52808    278.1664     280.17297    ... 281.49936    278.8118
   278.68372   ]
  [277.9652     279.79086    281.7293     ... 278.70462    279.95154
   281.5429    ]]

 [[-11.154779    -5.368814     5.1893916  ... -10.769736     2.1507611
     3.979526  ]
  [-11.108047    -5.9247913    4.5334454  ...  21.131731     7.701285
     1.3814827 ]
  [  5.7704797    5.624417    16.326492   ...  -0.73170596  19.147282
    -2.7178264 ]
  ...
  [-19.14887      1.8673127    5.8194246  ...  -1.0972962    6.0099335
    -2.2896047 ]
  [ -3.5612357  -11.245182    11.9651785  ...  -1.4394058   -0.6777317
    20.159636  ]
  [ -9.60865     -8.321693    -1.8216052  ...  -0.9631691   -7.161313
   -14.798295  ]]]",Periodic-Other
ZTF18aczeoyj,"[[[ 2.9177014e+02  2.9383630e+02  2.9149493e+02 ...  2.9581049e+02
    2.8604028e+02  2.7246161e+02]
  [ 2.9802142e+02  2.6260791e+02  3.0256982e+02 ...  2.7860950e+02
    2.9810339e+02  3.0919116e+02]
  [ 2.8974628e+02  2.8255310e+02  2.9020258e+02 ...  3.0419550e+02
    2.8958679e+02  3.0962671e+02]
  ...
  [ 2.6439740e+02  2.9795483e+02  2.8446417e+02 ...  2.9442468e+02
    2.8936218e+02  2.9734985e+02]
  [ 3.0363367e+02  2.8597876e+02  2.9482227e+02 ...  3.1455957e+02
    2.8299200e+02  2.9540369e+02]
  [ 2.8507758e+02  2.7916974e+02  2.9143433e+02 ...  2.8520471e+02
    3.0181158e+02  2.7229578e+02]]

 [[ 2.9392892e+02  2.9384857e+02  2.9066382e+02 ...  2.9359869e+02
    2.8931284e+02  2.8893640e+02]
  [ 2.9319214e+02  2.9228717e+02  2.8924390e+02 ...  2.8944662e+02
    2.8961490e+02  2.9099173e+02]
  [ 2.9569296e+02  2.9124167e+02  2.9030093e+02 ...  2.9085806e+02
    2.9101031e+02  2.9157333e+02]
  ...
  [ 2.9051608e+02  2.8718704e+02  2.9053030e+02 ...  2.9117676e+02
    2.9100839e+02  2.8951163e+02]
  [ 2.9159744e+02  2.9027118e+02  2.9477112e+02 ...  2.8996863e+02
    2.9115652e+02  2.9000433e+02]
  [ 2.9062735e+02  2.9068741e+02  2.9353696e+02 ...  2.9093039e+02
    2.8957727e+02  2.9114520e+02]]

 [[-2.0734203e+00  1.1206138e+00 -6.5880828e+00 ... -3.8047066e-01
    2.3924143e+00  1.8616392e+01]
  [-6.7793922e+00  3.1134260e+01 -8.3503866e+00 ...  8.8257208e+00
   -5.3575377e+00 -2.3578081e+01]
  [ 7.1450176e+00  3.3691845e+00  3.4989882e-01 ... -1.4251179e+01
    7.9312153e-02 -1.5117301e+01]
  ...
  [ 2.6012423e+01 -9.4946442e+00  6.5006952e+00 ... -5.4463458e+00
    2.3939710e+00 -8.5086803e+00]
  [-1.4195419e+01  6.1603770e+00 -3.0421309e+00 ... -2.3414604e+01
    6.8929296e+00 -9.9760354e-01]
  [ 6.9052954e+00  1.1277237e+01  9.7420961e-01 ...  7.6354418e+00
   -1.5258008e+01  1.8163721e+01]]]",AGN
ZTF18adbiikn,"[[[258.32324    261.9245     264.16217    ... 272.74094    249.25565
   247.92276   ]
  [249.94598    258.08893    270.66876    ... 251.47055    262.26297
   250.13101   ]
  [257.57373    262.04633    255.0877     ... 265.59177    256.3165
   279.51376   ]
  ...
  [259.51273    241.20718    242.69565    ... 283.22247    265.547
   252.4273    ]
  [264.0123     242.66818    259.21097    ... 256.17572    256.17493
   257.36853   ]
  [251.73318    265.98215    261.30832    ... 258.44678    259.88416
   263.96063   ]]

 [[267.62668    268.39526    264.47156    ... 264.87903    263.1796
   265.98618   ]
  [263.9015     262.26526    262.558      ... 261.90448    266.66864
   263.59268   ]
  [261.70596    263.82822    265.73126    ... 264.307      266.97375
   262.78766   ]
  ...
  [265.2515     263.35962    263.3033     ... 265.8442     264.99655
   266.5259    ]
  [265.25586    262.35916    263.17914    ... 266.126      267.3982
   265.92926   ]
  [266.16187    265.8456     264.36856    ... 261.88547    266.53366
   264.87463   ]]

 [[  6.7037125    4.2031174   -2.733407   ...  -5.9513493   11.791858
    21.544735  ]
  [ 14.812966     4.3637233   -6.9009633  ...  14.519756     5.6281667
     8.7825365 ]
  [  3.4264452    4.9983573   13.188025   ...  -6.6581516   12.013861
   -18.80038   ]
  ...
  [  3.177641    26.109379    20.923843   ... -13.537622     0.76482534
    15.176508  ]
  [  5.55453     15.514427     2.7443237  ...   6.7947173    7.353263
     7.12666   ]
  [ 13.176135     1.397211     7.212853   ...   8.035081     9.193896
     0.5025568 ]]]",Periodic-Other
ZTF19aanouim,"[[[332.2116     345.30145    349.60858    ... 347.96945    332.9833
   345.21317   ]
  [341.94586    346.8886     331.32184    ... 314.57547    353.0552
   325.2164    ]
  [325.20245    339.91565    360.2094     ... 344.5518     340.20578
   341.08365   ]
  ...
  [333.9559     334.69302    336.71176    ... 348.64078    326.0092
   343.98306   ]
  [355.00656    334.45523    334.2001     ... 351.05014    351.27377
   351.62674   ]
  [334.0731     329.54324    325.53146    ... 335.35336    345.9279
   359.98953   ]]

 [[342.83627    343.33847    343.6326     ... 340.0692     339.48352
   340.24966   ]
  [340.66956    341.729      339.49194    ... 341.31345    343.86
   338.90186   ]
  [339.9954     339.6625     342.27512    ... 339.7154     343.34274
   339.67917   ]
  ...
  [339.66232    341.80252    339.59702    ... 340.22443    343.46097
   338.7641    ]
  [342.23975    341.5055     343.26193    ... 339.19147    342.22385
   343.37332   ]
  [340.94513    339.75186    340.38733    ... 342.29395    342.03983
   341.50885   ]]

 [[ 11.236069    -0.95248276  -9.271472   ...  -8.355001     7.699993
    -5.467054  ]
  [ -1.4007556   -4.5432916    9.556323   ...  27.798994   -10.336849
    15.640579  ]
  [ 15.10817      2.3575025  -20.132822   ...  -7.0338626    3.5132098
    -3.1952722 ]
  ...
  [  4.58126      8.332973     4.3661     ...  -5.561323    12.449327
    -1.7099395 ]
  [-13.502184     4.5270505    9.414886   ...  -9.415629    -9.277097
    -9.29422   ]
  [  6.2057505   14.284028    13.076715   ...   6.373492    -4.3251753
   -18.0418    ]]]",Periodic-Other
